,0\O 
1719\O ,\O How\Eng adorable\Eng is\Eng this\Eng little\Eng one\Eng !!!!!\O 😍😍😍😍\O you\Eng go\Eng girl\Eng 👊🏼💪🏼\O https\Eng ://\O t\Eng .\O co\Hin=को /\O NEOys9hXIy\Eng 
1720\O ,@\O RanaDaggubati\Hin=रणादाग्ग़ुबती you\Hin=यूं are\Eng part\Eng of\Eng this\Eng one\Hin=ओन !\O Yay\Hin=य्य !\O 
1721\O ,\O RT\Eng @\O MizaGold\Hin=मिज़गोल्ड :\O #\O NaamShabanaTrailer\Hin=नाअमशबानैट्रेलर is\Eng trending\Eng at\Eng 2nd\Eng place\Eng in\Eng Malaysia\Eng !\O Wow\Hin=वो @\O akshaykumar\Hin=अक्षाय्कुमार @\O taapsee\Hin=टापसी https\Eng ://\O t\Eng .\O co\Eng /\O lSOTPrC5uj\Eng 
1722\O ,"\O RT\Eng @\O News18India\Eng :\O फिल्मों\O में\O महिलाओं\O के\O अच्छे\O दिन\O आए\O :\O @\O taapsee\Eng 
@\O awasthis\Eng के\O साथ.\O 
@\O BajpayeeManoj\Hin=बजपायीमानोज #\O NaamShabana\Hin=नाअमशबाना 
LIVE\Eng :\O https\Eng ://\O t\Eng .\O co\Eng /\O Psf4AW\Eng …"\O 
1723\O ,"\O RT\Eng @\O HindiNews18\Eng :\O मां-बाप\O महिलाओं\O की\O इज़्ज़त\O करना\O सिखाएं\O @\O BajpayeeManoj\Eng 
@\O taapsee\Hin=टापसी 
@\O awasthis\Eng 
https\Eng ://\O t\Eng .\O co\Eng /\O CMEZ3TWjgF\Eng 
#\O Chaupal\Hin=चौपाल "\O 
1724\O ,"\O RT\Eng @\O HindiNews18\Eng :\O जिसका\O बॉलीवुड\O में\O कोई\O नहीं\O होता\O उसकी\O जनता\O होती\O है-तापसी\O पन्नू\O 
@\O awasthis\Eng @\O BajpayeeManoj\Eng @\O taapsee\Hin=टापसी 
https\Eng ://\O t\Eng .\O co\Hin=को /\O CMEZ3UdUFf\Hin=क्मेज़्3उदुफ़ …"\O 
1725\O ,"\O RT\Eng @\O News18India\Eng :\O मेरे\O लिए\O जनता\O ही\O गॉड\O फादर\O हैं\O @\O taapsee\Eng 
@\O BajpayeeManoj\Eng 
@\O awasthis\Eng 
https\Eng ://\O t\Eng .\O co\Eng /\O Psf4AWcBV7\Eng 
#\O Chaupal\Hin=चौपाल "\O 
1726\O ,"\O RT\Eng @\O HindiNews18\Eng :\O मेरे\O लिए\O जनता\O ही\O गॉड\O फादर\O है\O @\O taapsee\Eng 
@\O BajpayeeManoj\Eng 
@\O awasthis\Eng 
https\Eng ://\O t\Eng .\O co\Eng /\O CMEZ3TWjgF\Eng 
#\O Chaupal\Hin=चौपाल "\O 
1727\O ,"\O RT\Eng @\O HindiNews18\Eng :\O मेरा\O मुकाबला\O इरफ़ान\O और\O नवाजुद्दीन\O सिद्दीकी\O से\O है\O @\O BajpayeeManoj\Eng 
@\O taapsee\Hin=टापसी 
@\O awasthis\Eng 
https\Eng ://\O t\Eng .\O co\Eng /\O CMEZ3TWjgF\Eng 
#\O Chaupal\Hin=चौपाल …"\O 
1728\O ,"\O RT\Eng @\O HindiNews18\Eng :\O जैसे\O रोल\O मैंने\O किए\O किसी\O हीरो\O का\O बेटा\O कभी\O नहीं\O करता\O @\O BajpayeeManoj\Eng 
@\O awasthis\Hin=आवास्थीस के\O साथ.\O @\O taapsee\Hin=टापसी 
LIVE\Eng :\O https\Eng ://\O t\Eng .\O co\Eng /\O CMEZ3TW\Eng …"\O 
1729\O ,"\O RT\Eng @\O HindiNews18\Eng :\O मेरे\O लिए\O जनता\O ही\O गॉड\O फादर\O हैं\O @\O taapsee\Eng 
@\O awasthis\Eng के\O साथ.\O @\O BajpayeeManoj\Eng 
LIVE\Eng :\O https\Eng ://\O t\Eng .\O co\Eng /\O CMEZ3TWjgF\Eng 
#\O Chaupal\Hin=चौपाल ht\Eng …"\O 
1730\O ,"\O RT\Eng @\O awasthis\Eng :\O #\O ComingUpNext\Eng is\Eng @\O taapsee\Hin=टापसी and\Hin=एंड @\O manojvajpai\Eng _\O 1\O for\Hin=फॉर #\O NaamShabana\Hin=नाअमशबाना ..\O ""क्या\O फिल्मों\O में\O महिलाओं\O के\O अच्छे\O दिन\O आ\O गये\O हैं?""\O https\Eng ://\O t\Eng …"\O 
1731\O ,@\O sidd\Hin=सिद _\O rao\Eng bro\Hin=बरो movie\Eng releasing\Eng in\Eng tamil\Hin=तमिल n\Eng Telugu\Eng specially\Eng for\Eng u\Hin=उ !\O 
1732\O ,@\O Saqibsaleem\Hin=साक़िब्सलीम haan\Hin=हान mere\Hin=मेर Uppal\Hin=उप्पाल !\O Woh\Hin=वह toh\Hin=तोह Meri\Hin=मेरी split\Eng personality\Eng ka\Hin=का dusra\Hin=दूसरा part\Hin=पार्ट hai\Hin=हैं .\O 
1733\O ,@\O AmaalMallik\Hin=अमालमल्लिक hahaha\Hin=हहाह .\O Literally\Eng !\O Lot\Eng of\Eng killing\Eng on\Eng 31st\Eng March\Eng !\O 
1734\O ,"\O Thankq\Eng 🙏🏼\O 
We\Hin=वी are\Eng as\Eng excited\Eng as\Eng all\Eng of\Eng u\Hin=उ #\O NaamShabanatrailer\Hin=नाअमशबानैट्रेलर https\Eng ://\O t\Eng .\O co\Hin=को /\O Ve1JEOTlCx\Hin=वे1जिओल्च्क्स "\O 
1735\O ,"\O And\Eng that's\Eng how\Eng it\Eng all\Eng started\Eng for\Eng #\O NaamShabana\Hin=नाअमशबाना #\O NaamShabanaTrailer\Hin=नाअमशबानैट्रेलर 
https\Eng ://\O t\Eng .\O co\Eng /\O 6PmPCaJxOi\Eng "\O 
1736\O ,"\O And\Hin=एंड here\Eng we\Eng are\Eng .....\O 
Who\Eng she\Eng was\Eng and\Eng who\Eng she\Eng became\Eng ...\O 
#\O NaamShabanatrailer\Eng https\Eng ://\O t\Eng .\O co\Eng /\O rez25HYDNd\Eng "\O 
1737\O ,\O Many\Eng many\Eng more\Eng successful\Eng years\Eng to\Eng this\Eng fighting\Eng tigress\Eng @\O NSaina\Hin=Mसैना Happy\Hin=हैप्पी Birthday\Eng Champ\Eng !\O 
1738\O ,\O You\Hin=यूं know\Eng the\Eng promotions\Eng are\Eng on\Eng full\Eng swing\Eng when\Eng u\Hin=उ start\Eng catching\Eng early\Eng morning\Eng flights\Eng .\O To\Hin=तू Delhi\Eng for\Eng The\Eng New\Eng Trailer\Eng Of\Eng Naam\Hin=नाअम् Shabana\Hin=शबाना !\O 👊🏼\O 
1739\O ,\O RT\Eng @\O RelianceEnt\Eng :\O NAAM\Hin=नाअम् SHABANA\Hin=शबाना TRAILER2\Hin=ट्रेलर्2 TOMORROW\Hin=तोमोर्रो is\Hin=इस trending\Eng in\Eng India\Eng .\O We\Hin=वी are\Eng loving\Eng your\Eng excitement\Eng .\O Keep\Eng it\Eng coming\Hin=कमिंग !\O @\O taapsee\Hin=टापसी @\O akshaykumar\Hin=अक्षाय्कुमार …\O 
1740\O ,\O RT\Eng @\O FFW\Eng _\O Official\Eng :\O Enjoy\Eng watching\Eng #\O NaamShabana\Hin=नाअमशबाना with\Hin=विद your\Eng friends\Eng and\Eng family\Eng .\O You\Eng can\Eng now\Eng also\Eng do\Eng Bulk\Eng Booking\Eng .\O Book\Eng now\Eng on\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O fXwW\Hin=फ्क्स्व्व् …\O 
1741\O ,@\O JayantiBamne\Hin=जयंटिबमने @\O Tapseewikipedia\Eng @\O MediaRaindrop\Eng @\O kapil322\Eng @\O zee24taasnews\Eng thankq\Eng 🙏🏼\O 
1742\O ,\O RT\Eng @\O FFW\Eng _\O Official\Eng :\O Meet\Eng @\O taapsee\Hin=टापसी and\Eng @\O BajpayeeManoj\Eng tomorrow\Eng on\Eng @\O News18Chaupal\Eng .\O Watch\Eng them\Eng as\Eng they\Eng talk\Eng about\Hin=बाअत् #\O NaamShabana\Hin=नाअमशबाना and\Hin=एंड the\Eng story\Eng bef\Hin=बेफ़ …\O 
1743\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
03.16.17\O #\O TaapseePannu\Hin=टापसीपननू in\Hin=इन natashajlabel\Eng for\Eng #\O NaamShabana\Hin=नाअमशबाना …\O https\Eng ://\O t\Eng .\O co\Eng /\O xcTXk7EnAH\Hin=क्स्क्त्क्स्क्7एनाह "\O 
1744\O ,\O RT\Hin=अर्त @\O akshaykumar\Hin=अक्षाय्कुमार :\O Are\Hin=अरे you\Hin=यूं guys\Eng ready\Eng for\Eng another\Eng peek\Eng into\Eng the\Eng life\Eng of\Eng Shabana\Eng ?\O New\Eng #\O NaamShabanaTrailer\Hin=नाअमशबानैट्रेलर will\Eng be\Eng out\Eng tomorrow\Eng at\Eng 12\O noon\Eng 👊🏻\O St\Eng …\O 
1745\O ,"\O RT\Eng @\O FFW\Eng _\O Official\Eng :\O Prebook\Eng +\O Rs\Eng .\O 1000\O Voucher\Eng +\O Chance\Eng to\Eng meet\Hin=मीत @\O taapsee\Hin=टापसी and\Eng @\O BajpayeeManoj\Eng .\O Be\Hin=बे the\Eng first\Eng Film\Eng Fan\Hin=फ़न !\O 
Prebook\Eng on\Eng https\Eng ://\O t\Eng .\O co\Eng /\O fX\Eng …"\O 
1746\O ,"\O RT\Eng @\O PlanC\Eng _\O Studios\Eng :\O Did\Eng you\Hin=यूं know\Hin=क्नो you\Eng can\Eng Prebook\Eng your\Hin=यर #\O NaamShabana\Hin=नाअमशबाना tickets\Hin=टिकट and\Eng also\Eng book\Eng theater\Eng ,\O seats\Eng and\Eng show\Eng of\Eng your\Eng choice\Eng ?\O 
Click\Eng http\Eng …"\O 
1747\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
03.15.17\O #\O TaapseePannu\Hin=टापसीपननू in\Hin=इन stuti\Hin=स्टूटी _\O anand\Hin=आनंद for\Eng interviews\Eng today\Eng .…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O jNQRZQjuKY\Hin=ज्न्क़्र्ज़्क़्ज़ुकी "\O 
1748\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
03.15.17\O #\O TapseePannu\Hin=तप्सीपननू in\Eng roseroomcouture\Eng jacket\Eng and\Eng @\O mango\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 4JbP2uPDrH\Hin=4ज्ब्प्2यूप्द्र "\O 
1749\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
03.14.17\O #\O TaapseePannu\Hin=टापसीपननू in\Hin=इन anavila\Eng _\O m\Eng and\Eng edesigns\Eng _\O mumbai\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 0BiFnS1dQa\Eng "\O 
1750\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O Not\Eng nervous\Eng or\Eng afraid\Eng ,\O just\Eng be\Eng alert\Eng and\Eng ready\Hin=रेडी !\O #\O KohniMaar\Hin=कोहनिमार 

@\O taapsee\Hin=टापसी @\O BajpayeeManoj\Hin=बजपायीमानोज @\O akshaykumar\Hin=अक्षाय्कुमार @\O AnupamPkher\Hin=अनूपम्पकेर @\O PrithviOf\Hin=पृथ्वाय्फ़ …"\O 
1751\O ,\O Thankq\Eng 🙏🏼\O https\Eng ://\O t\Eng .\O co\Eng /\O Fb2DdXh870\Eng 
1752\O ,\O I\Eng like\Eng that\Eng picture\Eng Nilesh\Eng !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 9ZjGspeItw\Hin=9ज़्ज्ग्सपेइतव् 
1753\O ,\O I'm\Eng so\Eng looking\Eng forward\Eng to\Eng seeing\Eng everyone's\Eng response\Eng after\Eng seeing\Eng the\Eng episode\Eng !!!!\O Superrrrrrr\Hin=सुपैर्र्र्र्र्र fun\Hin=फन !\O https\Eng ://\O t\Eng .\O co\Eng /\O cV3fZOQGJF\Eng 
1754\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
03.14.17\O #\O TaapseePannu\Hin=टापसीपननू in\Hin=इन @\O swati\Hin=स्वाती _\O vijai\Hin=विजै wrap\Eng dress\Eng layered\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O iC1pLKfCRx\Eng "\O 
1755,👏🏼👏🏼👏🏼👏🏼\O I'm\Eng watching\Eng it\Eng !!!!\O https\Eng ://\O t\Eng .\O co\Eng /\O BYqfqasL68\Eng 
1756\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
03.11.17\O #\O TaapseePannu\Hin=टापसीपननू in\Hin=इन @\O Parul\Eng _\O Mirage\Eng and\Eng edesigns\Eng _\O mumbai\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O P7u2lIR9G0\Eng "\O 
1757\O ,"\O RT\Eng @\O PlanC\Eng _\O Studios\Eng :\O She\Eng is\Eng an\Eng inspiration\Eng !\O #\O Shabana\Eng will\Eng not\Eng give\Eng up\Eng and\Eng nobody\Eng can\Eng stop\Eng her\Eng .\O 
Watch\Eng her\Eng in\Eng #\O Zinda\Hin=ज़िंदा .\O 

@\O taapsee\Hin=टापसी @\O BajpayeeManoj\Hin=बजपायीमानोज …"\O 
1758\O ,"\O RT\Eng @\O ExLolaKutty\Hin=एक्स्लोलकुट्टी :\O You\Hin=यूं know\Hin=क्नो what's\Eng heartbreaking\Eng ?\O 

I\Eng don't\Eng know\Eng a\Eng single\Eng woman\Eng who\Eng hasn't\Eng been\Eng felt\Eng up\Eng ,\O fallen\Eng on\Eng ,\O bumped\Eng into\Eng or\Eng hit\Eng on\Eng aga\Hin=अगा …"\O 
1759\O ,@\O crhemanth\Eng thankq\Eng :)\EMT 
1760\O ,"\O Aaj\Hin=आअय् main\Hin=मां upar\Hin=उपर !\O Aasmaa\Hin=आस्माँ neeche\Hin=नीईचे !\O 
When\Eng all\Eng the\Eng crazy\Eng action\Eng rekindles\Eng the\Eng adventurous\Eng child\Eng in\Eng u\Hin=उ !\O 😁👧🏻🐒\O 
#\O NaamShabana\Hin=नाअमशबाना https\Eng ://\O t\Eng .\O co\Eng /\O 1Eti5t9BoE\Eng "\O 
1761\O ,@\O crhemanth\Eng thankq\Eng so\Eng much\Eng !\O For\Eng being\Eng a\Eng keen\Eng observer\Eng :)\EMT 
1762\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O Be\Eng courageous\Eng like\Eng Shabana\Hin=शबाना Khan\Hin=खान .\O Watch\Hin=वाच #\O Zinda\Eng now\Eng -\O https\Eng ://\O t\Eng .\O co\Eng /\O GuFuIt2CD0\Hin=गुफुइत्2च्द्0 

@\O taapsee\Hin=टापसी @\O BajpayeeManoj\Hin=बजपायीमानोज @\O akshaykumar\Hin=अक्षाय्कुमार @\O AnupamP\Hin=अनूपम्प …"\O 
1763\O ,\O Hope\Hin=होप u\Hin=उ r\Eng having\Eng a\Eng wonderful\Eng Holi\Hin=होली .\O Remember\Eng that\Eng the\Eng beauty\Eng of\Eng a\Eng festival\Eng is\Eng best\Eng enjoyed\Eng when\Eng safe\Eng :)\EMT #\O HappyHoli\Eng https\Eng ://\O t\Eng .\O co\Eng /\O uR86PR9xSz\Eng 
1764\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O 10\O PM\Eng 
Yes\Eng !\O Healthy\Eng sleep\Eng is\Eng just\Eng as\Eng important\Eng for\Eng good\Eng health\Eng as\Eng nutrition\Eng &\O amp\Eng ;\O exercise\Eng .\O Do\Hin=दो you\Eng sleep\Eng enough\Eng ?\O https\Eng ://\O t\Eng .\O co\Hin=को /\O G\Hin=ग …"\O 
1765\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O 8\O PM\Eng 
Concentration\Eng &\O amp\Eng ;\O mental\Eng toughness\Eng are\Eng the\Eng margins\Eng of\Eng victory\Eng ,\O don't\Eng you\Eng agree\Eng ?\O https\Eng ://\O t\Eng .\O co\Eng /\O GuFuIt2CD0\Hin=गुफुइत्2च्द्0 
#\O Zinda\Hin=ज़िंदा @\O taaps\Hin=टाप …"\O 
1766\O ,"\O RT\Eng @\O Uppolice\Eng :\O @\O up100\Eng will\Eng reach\Eng faster\Eng than\Eng Pizza\Eng 🍕\O 
#\O HappyHoli\Hin=हैप्प्योली #\O UPPOLICE\Hin=उप्पुलिस https\Eng ://\O t\Eng .\O co\Hin=को /\O zUpMdK3Wxk\Hin=ज़ुप्म्ड्क्3व्क्स्क "\O 
1767\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O 6\O :\O 00PM\Eng 
Jogging\Eng is\Eng an\Eng integral\Eng part\Eng of\Eng Shabana's\Eng training\Eng !\O What's\Eng your\Eng fitness\Eng mantra\Eng ?\O https\Eng ://\O t\Eng .\O co\Eng /\O GuFuIt2CD0\Hin=गुफुइत्2च्द्0 
@\O taapsee\Hin=टापसी @\O Ba\Hin=बा …"\O 
1768\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O 04:00\O PM\Eng 
Time\Eng for\Eng some\Eng hard-core\Eng training\Eng !\O Are\Eng you\Eng working\Eng out\Eng too\Eng ?\O 
https\Eng ://\O t\Eng .\O co\Eng /\O GuFuIt2CD0\Hin=गुफुइत्2च्द्0 

@\O taapsee\Hin=टापसी @\O BajpayeeManoj\Hin=बजपायीमानोज @\O aks\Eng …"\O 
1769\O ,"\O She\Eng is\Eng badass\Hin=बादस !\O Come\Hin=कौमअ n\Hin=न meet\Eng her\Eng in\Eng theatres\Eng near\Eng u\Hin=उ on\Eng 31st\Eng March\Eng !\O 
#\O NaamShabana\Hin=नाअमशबाना 
https\Eng ://\O t\Eng .\O co\Eng /\O 314GaC4rEo\Eng "\O 
1770\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O #\O Zinda\Eng from\Hin=फ्रोम #\O NaamShabana\Hin=नाअमशबाना is\Eng inspiring\Eng one\Eng and\Eng all\Eng !\O Have\Hin=हवे you\Eng watched\Eng it\Eng yet\Eng ?\O https\Eng ://\O t\Eng .\O co\Eng /\O GuFuIt2CD0\Hin=गुफुइत्2च्द्0 

@\O taapsee\Hin=टापसी @\O BajpayeeMa\Hin=बजपायीमा …"\O 
1771\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O 12:00\O PM\Eng 
Shabana\Eng believes\Eng in\Eng eating\Eng healthy\Eng !\O What's\Eng your\Eng diet\Eng plan\Eng ?\O 
Play\Hin=प्ले #\O Zinda\Eng now\Eng -\O https\Eng ://\O t\Eng .\O co\Eng /\O GuFuIt2CD0\Hin=गुफुइत्2च्द्0 
@\O taapsee\Hin=टापसी @…"\O 
1772\O ,@\O alifazal9\Eng how\Eng ridiculous\Eng !\O What\Eng progression\Eng I\Eng must\Eng say\Eng !\O #\O SadStateOfAffairs\Eng 
1773\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O 7:00\O AM\Eng 
It's\Eng time\Eng for\Eng some\Eng hard-core\Eng training\Eng !\O What's\Eng your\Eng workout\Eng routine\Eng ?\O 
#\O Zinda\Hin=ज़िंदा out\Eng now\Eng :\O https\Eng ://\O t\Eng .\O co\Eng /\O GuFuIt2CD0\Hin=गुफुइत्2च्द्0 
@\O taap\Hin=टाप …"\O 
1774\O ,\O Deep\Eng breathing\Eng .........\O count\Eng till\Eng 10......\O 10...9...8....\O not\Eng working\Eng .....\O 😡\EMT have\Eng good\Eng food\Eng .....\O all\Eng good\Eng 😇\EMT 
1775\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O Believe\Eng you\Eng can\Eng and\Eng you're\Eng half\Eng way\Eng through\Eng !\O Catch\Eng #\O NaamShabana's\Hin=नाअमशबान' #\O Zinda\Eng now\Eng -\O https\Eng ://\O t\Eng .\O co\Eng /\O GuFuIt2CD0\Hin=गुफुइत्2च्द्0 

@\O taapsee\Hin=टापसी @\O Bajpayee\Hin=बजपायी …"\O 
1776\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
03.10.17\O #\O TaapseePannu\Hin=टापसीपननू in\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O wK7jqEAyWz\Hin=व्क्7ज्क़ीआईव्ज़ and\Hin=एंड aavantam\Hin=आवन्तम …\O https\Eng ://\O t\Eng .\O co\Eng /\O Utp1R4rePm\Eng "\O 
1777\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
03.10.17\O #\O TaapseePannu\Hin=टापसीपननू in\Hin=इन @\O nraipurani\Hin=नर्यपुरानी separates\Eng for\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O LYdAsJeTie\Hin=ल्यदास्जेटिए "\O 
1778\O ,\O Hope\Eng we\Eng matched\Eng the\Eng powerful\Eng voice\Eng of\Eng @\O SunidhiChauhan5\Eng with\Eng the\Eng video\Eng of\Eng #\O zinda\Hin=ज़िंदा #\O NaamShabana\Hin=नाअमशबाना 
1779\O ,@\O manojmuntashir\Hin=मनोज्मुंताशीर @\O SunidhiChauhan5\Hin=सुनिधीचौहं5 @\O RochakTweets\Eng @\O TSeries\Eng thankq\Eng !\O And\Eng all\Eng of\Eng our\Eng hard\Eng work\Eng on\Eng display\Eng from\Eng 31st\Eng march\Eng !\O 
1780\O ,"\O And\Hin=एंड here's\Eng what\Eng you\Hin=यूं see\Eng in\Eng the\Eng film\Eng .\O 
#\O Zinda\Hin=ज़िंदा 
#\O NaamShabana\Hin=नाअमशबाना 
https\Eng ://\O t\Eng .\O co\Hin=को /\O KU5l2zWfzP\Hin=कु5ल्2ज़्व्फ्ज्प "\O 
1781\O ,"\O The\Eng blood\Eng and\Eng sweat\Eng that\Eng went\Eng in\Eng the\Eng making\Eng of\Eng this\Eng SPY\Eng 
#\O NaamShabana\Hin=नाअमशबाना 
https\Eng ://\O t\Eng .\O co\Eng /\O 6IoPQVyvC7\Eng "\O 
1782\O ,"\O RT\Eng @\O PlanC\Eng _\O Studios\Eng :\O 20\O days\Eng to\Eng go\Eng !\O Here\Hin=हेरे ’\O s\Eng a\Eng chance\Eng to\Eng prebook\Eng your\Hin=यर #\O NaamShabana\Hin=नाअमशबाना tickets\Hin=टिकट with\Eng #\O CineRewardz\Eng .\O 
To\Eng Prebook\Eng click\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 2k\Eng …"\O 
1783\O ,\O Let's\Hin=लेत्'स get\Hin=गेट ready\Eng for\Eng some\Eng ACTION\Hin=एक्टन !\O 👊🏼💪🏼\O #\O NaamShabana\Hin=नाअमशबाना #\O Zinda\Hin=ज़िंदा https\Eng ://\O t\Eng .\O co\Hin=को /\O 7Vi3eFj8oK\Hin=7वि3अफ्ज्8ओक 
1784\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O Shabana\Eng fought\Eng all\Eng odds\Eng with\Eng courage\Eng !\O Watch\Eng her\Eng journey\Eng in\Eng #\O Zinda\Hin=ज़िंदा today\Eng !\O 
#\O NaamShabana\Hin=नाअमशबाना 
@\O taapsee\Hin=टापसी @\O BajpayeeManoj\Hin=बजपायीमानोज @\O akshaykumar\Eng …"\O 
1785,"🙏🏼\O 
Waiting\Eng waiting\Eng 😁\O https\Eng ://\O t\Eng .\O co\Hin=को /\O GweZdHqE1H\Hin=ग्वेज़ध्क़े1ह "\O 
1786\O ,"\O RT\Eng @\O RelianceEnt\Eng :\O You\Eng can't\Eng beat\Eng the\Eng person\Eng who\Eng won't\Eng give\Eng up\Hin=उप .\O #\O Zinda\Hin=ज़िंदा out\Eng tomorrow\Eng !\O 

@\O taapsee\Hin=टापसी @\O BajpayeeManoj\Hin=बजपायीमानोज @\O akshaykumar\Hin=अक्षाय्कुमार @\O AnupamPkher\Hin=अनूपम्पकेर #\O Naam\Hin=नाअम् …"\O 
1787\O ,@\O Rakulpreet\Hin=रकुल्प्रीत @\O ReallySwara\Hin=रिअल्ल्य्स्वरा hahahaha\Hin=हहहाह .\O Ya\Hin=या .\O Sweat\Hin=स्वेअद् it\Eng out\Eng !\O It's\Eng healthy\Eng !\O 
1788\O ,@\O crhemanth\Hin=क्रेमंठ nice\Eng idea\Eng !\O 
1789\O ,"\O Now\Hin=नो that's\Eng called\Eng an\Eng elite\Eng company\Eng 😍\EMT 
Team\Eng #\O Baby\Eng is\Eng back\Eng with\Hin=विद #\O NaamShabana\Hin=नाअमशबाना come\Hin=कौमअ meet\Eng us\Eng on\Eng 31st\Eng March\Eng :)\EMT https\Eng ://\O t\Eng .\O co\Eng /\O j3VPlgkn6X\Eng "\O 
1790\O ,@\O vrindaprasad\Hin=वृंद़अप्रासाद @\O ReallySwara\Hin=रिअल्ल्य्स्वरा 🙏🏼\O 
1791\O ,"\O Good\Hin=गूद luck\Hin=लूक to\Eng everyone\Eng giving\Eng board\Eng exams\Eng from\Eng today\Eng .\O It's\Eng always\Eng easier\Eng than\Eng what\Eng u\Eng fear\Eng for\Eng .\O And\Eng remember\Eng ,\O nothing\Eng is\Eng the\Eng end\Eng of\Eng life\Eng !"\O 
1792\O ,\O Ending\Eng this\Eng long\Eng and\Eng beautiful\Eng day\Eng with\Eng the\Eng most\Eng important\Eng women\Eng in\Eng my\Eng world\Hin=वर्ल्ड .\O Cheers\Eng to\Eng womanhood\Eng 🍻\O https\Eng ://\O t\Eng .\O co\Eng /\O OF3TGnfk0z\Eng 
1793\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
We\Eng mean\Eng business\Hin=बुसिनेस्स |\O #\O TaapseePannu\Hin=टापसीपननू in\Hin=इन shirt\Eng and\Eng jacket\Eng by\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ih52x3yxxD\Eng "\O 
1794\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
#\O TaapseePannu\Hin=टापसीपननू |\O in\Eng indigene2011\Eng for\Eng interviews\Eng of\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O Jfr1UQWB1N\Eng "\O 
1795\O ,"#\O Repost\Eng @\O DevsB\Eng with\Eng @\O repostapp\Eng 
・・・\O 
A\Eng Dressy\Eng Shirt\Hin=शीर्ट |\O #\O TaapseePannu\Hin=टापसीपननू in\Hin=इन @\O mihjeans\Eng shirt\Eng and\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O sz0w2ZPkhr\Eng "\O 
1796\O ,\O Thankq\Eng sweetheart\Eng 🤗\O https\Eng ://\O t\Eng .\O co\Hin=को /\O XMIsQ3zHEE\Hin=क्ष्मिश्क़्3ज़ी 
1797\O ,\O RT\Eng @\O healthregain\Eng :\O @\O akshaykumar\Eng @\O taapsee\Hin=टापसी #\O KohniMaar\Hin=कोहनिमार Self\Eng defense\Eng Training\Eng with\Eng female\Eng employees\Eng of\Eng Indus\Eng Valley\Eng at\Eng NSEZ\Eng Noida\Eng on\Eng Internation\Eng …\O 
1798\O ,"\O A\Eng special\Eng throwback\Eng on\Eng this\Eng special\Eng day\Eng :)\EMT 
#\O Pink\Eng 
https\Eng ://\O t\Eng .\O co\Hin=को /\O 5iNWWJhziE\Hin=5इनव्व्झ्ज़िए "\O 
1799\O ,"\O My\Eng special\Eng woman\Eng on\Eng this\Eng special\Eng day\Eng !\O 
For\Eng being\Eng the\Eng woman\Eng who\Eng not\Eng only\Eng gave\Eng me\Eng life\Eng but\Eng let\Eng me\Hin=मे LIVE\Hin=लाइव !\O #\O Womensday\Eng https\Eng ://\O t\Eng .\O co\Eng /\O y1n7PorPWS\Eng "\O 
