,0\O 
1763\O ,\O Get\Hin=गेट on\Eng there\Eng :)\EMT #\O Snapchat\Eng #\O ID\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O lBcstBFmFI\Hin=ल्ब्ख्स्त्ब्फ्म्फ़ी 
1764\O ,\O A\Eng hilarious\Eng take\Eng on\Eng the\Eng #\O Lakmefashionweek\Eng when\Eng my\Eng @\O malishkakeboys\Hin=म्लिश्काकबोइ come\Eng backstage\Eng 😂😂😂\O as\Eng I\Eng get\Eng ready\Eng to\Eng be\Eng the\Eng Showst\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O UwqwqEJPDc\Eng 
1765\O ,\O Hi\Hin=ही Hema\Hin=हेमा pls\Eng DM\Eng us\Eng your\Eng number\Eng .\O @\O malishkakeboys\Eng @\O hemalatha2906\Eng @\O MumbaiPolice\Eng 
1766\O ,\O Can\Eng someone\Eng tell\Eng me\Eng how\Hin=हो @\O sangeetabijlani\Hin=संगीताबिजलनी GLOWS\Hin=गलां n\Hin=न @\O GulPanag\Hin=गुलपनाग is\Hin=इस a\Eng Love\Eng :)\EMT and\Hin=एंड @\O eshaamiin\Hin=एशामीं I'm\Eng seeing\Eng u\Hin=उ soon\Eng and\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O CMbvzP2Sgi\Hin=क्मब्व्ज्प्2स्गी 
1767\O ,\O Here's\Eng our\Eng #\O Showstopper\Eng moment\Eng @\O VarunmThakur\Hin=वरूण्मथकुर @\O MallikaDua\Hin=मल्लिकदुआ .\O We\Eng means\Eng toh\Hin=तोह stopped\Eng it\Eng ;)\EMT @\O LakmeFashionWk\Hin=लक्मिफशिअँव्क @\O AJIOLife\Hin=अजिअलाइफ #\O LFW\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O qurPHJewFJ\Hin=क़ुर्फ्झ्व्फ्ज 
1768\O ,\O RT\Eng @\O AJIOLife\Hin=अजिअलाइफ :\O @\O mymalishka\Hin=मीनलिश्का @\O VarunmThakur\Hin=वरूण्मथकुर @\O MallikaDua\Hin=मल्लिकदुआ thank\Hin=थान्क you\Eng for\Eng joining\Eng the\Eng conversation\Eng &\O amp\Eng ;\O also\Eng walking\Eng for\Eng #\O NotWhatIWear\Hin=नोटवाअतिवियर !\O You\Eng guys\Eng rocke\Eng …\O 
1769\O ,\O Hey\Hin=है hey\Hin=है ha\Hin=ह ha\Hin=ह hey\Hin=है hey\Hin=है Hurrrrr\Hin=हुर्र्र्र *\O channels\Eng Rajesh\Eng Khanna\Eng *\O mazza\Eng became\Eng :)\EMT https\Eng ://\O t\Eng .\O co\Eng /\O GiT4bp3s5C\Eng 
1770\O ,\O RT\Eng @\O VarunmThakur\Hin=वरूण्मथकुर :\O Show\Eng stoppers\Eng for\Eng @\O ajiolife\Eng @\O mymalishka\Hin=मीनलिश्का &\O amp\Hin=अम्प ;\O @\O mallikadua\Eng and\Eng yours\Eng truly\Eng ✌🏻️\O #\O NotWhatIWear\Eng https\Eng ://\O t\Eng .\O co\Eng /\O Ju3fIJ0Hci\Eng 
1771\O ,\O Shivers\Eng and\Eng madness\Eng backstage\Eng !\O With\Hin=विद @\O MallikaDua\Hin=मल्लिकदुआ and\Hin=एंड @\O VarunmThakur\Eng about\Eng be\Eng showstoppers\Eng at\Eng @\O LakmeFashionWk\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O FP6Qej3fD3\Eng 
1772\O ,"\O RT\Eng @\O AJIOLife\Eng :\O That's\Eng right\Eng guys\Eng !\O Catch\Eng @\O mymalishka\Hin=मीनलिश्का live\Eng on\Eng our\Eng FB\Eng page\Eng ,\O AJIOLife\Eng ,\O as\Eng she\Eng walks\Eng for\Eng our\Eng #\O NotWhatIWear\Hin=नोटवाअतिवियर show\Eng .\O 5\O PM\Eng today\Eng .\O Be\Hin=बे t\Hin=त …"\O 
1773\O ,\O Another\Eng night\Eng of\Eng dress-up\Eng .\O Lovin\Eng '\O it\Eng .\O Catch\Hin=कत्च me\Hin=मे @\O LakmeFashionWk\Hin=लक्मिफशिअँव्क #\O Notwhatiwear\Hin=नोटवाअतिवियर @\O AJIOLife\Hin=अजिअलाइफ LIVE\Hin=लाइव on\Eng FB\Eng tomorrow\Eng at\Eng 5\O pm\Eng .…\O https\Eng ://\O t\Eng .\O co\Eng /\O 117U9toO8n\Eng 
1774\O ,\O My\Hin=मी fave\Eng moments\Eng ?\O When\Eng thousands\Eng of\Eng peeps\Eng are\Eng laughing\Eng along\Eng with\Eng me\Eng when\Eng I'm\Eng on\Eng stage\Eng !\O #\O L\Eng &\O amp\Eng ;\O Tinfotech\Eng u\Eng were\Eng awesome\Eng t\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O H4s7o0vjjb\Eng 
1775\O ,"\O RT\Hin=अर्त @\O kaalicharan\Hin=कालिचरन :\O Cute\Hin=कट्य little\Eng pups\Eng for\Eng adoption\Eng -\O Sector\Eng 63,\O Noida\Eng https\Eng ://\O t\Eng .\O co\Eng /\O fmSDW8YXdi\Eng To\Eng adopt\Eng ,\O call\Eng 9899802877.\O 

Please\Hin=प्लीअज् RT\Eng .\O https\Eng ://\O t\Eng …"\O 
1776\O ,\O Tere\Eng rhymes\Eng pe\Hin=पी main\Hin=मां vaari\Hin=वारी jaaoon\Hin=जाऊँ .\O Tujh\Hin=तुझ jaisa\Hin=जैसा Raapchik\Hin=राप्चिक Bhaaai\Hin=भाआआई kahaan\Hin=कहान paaoon\Hin=पाऊँ ??😘\O https\Eng ://\O t\Eng .\O co\Eng /\O zFYijs6aEc\Eng 
1777\O ,\O So\Hin=सो so\Eng delighted\Eng to\Eng be\Eng the\Eng showstopper\Eng tomorrow\Eng at\Eng @\O LakmeFashionWk\Eng for\Hin=फॉर @\O AJIOLife\Eng !\O Cannot\Eng wait\Eng .\O My\Eng heels\Eng are\Eng delight\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 9AVpAqBVy1\Eng 
1778\O ,\O I\Eng should\Eng live\Eng on\Eng stage\Eng !\O What\Eng a\Eng fab\Hin=फब night\Eng of\Eng doing\Hin=दोइँMग #\O MumbaiKiRani\Hin=मुंबैकिरनी giri\Hin=गिरी at\Eng L\Eng &\O amp\Eng ;\O T\Eng infotech\Eng .\O It\Eng was\Eng so\Eng fun\Eng making\Eng your\Eng bos\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O Qb4zUxP2MA\Eng 
1779\O ,\O Superb\Eng :)\EMT So\Eng glad\Eng to\Eng be\Eng part\Eng of\Eng the\Eng change\Eng :)\EMT @\O RedFMIndia\Eng @\O RedFM\Eng _\O Mumbai\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 5nQMQnXCy4\Eng 
1780\O ,\O Congrats\Eng BKC\Eng :)\EMT MMRDA\Eng has\Eng promised\Eng to\Eng open\Eng the\Eng parking\Eng !\O It's\Eng the\Eng power\Eng of\Eng u\Eng people\Eng .\O Was\Eng awesome\Eng to\Hin=तू Bajao\Hin=बजाओ the\Eng authorities\Eng for\Eng you\Eng 😘@\O RedFM\Eng _\O Mumbai\Eng 
1781\O ,\O Romolin\Eng 4m\Eng BKC\Eng called\Eng to\Eng say\Eng how\Eng 6k\Eng people\Eng would\Eng be\Eng in\Eng trouble\Eng if\Eng MMRDA\Eng shut\Eng parking\Eng .\O We\Eng took\Eng it\Eng up\Eng .\O She\Eng calls\Eng wth\Eng good\Eng news\Eng ;)\EMT @\O RedFM\Eng _\O Mumbai\Eng 
1782\O ,\O Oh\Hin=ओह man\Hin=मान !!\O So\Eng pumped\Eng !\O There\Eng is\Eng power\Eng here\Eng !\O You\Hin=यूं guys\Eng are\Eng most\Eng welcome\Eng .\O I\Eng loved\Eng the\Hin=ते Bajaaoing\Hin=बजाओइँMग that\Eng lead\Eng to\Eng this\Eng 😜…\O https\Eng ://\O t\Eng .\O co\Eng /\O jdkVFRJxYX\Eng 
1783\O ,\O Wassup\Eng #\O BKC\Eng ?\O How's\Eng the\Eng parking\Eng ?\O All\Eng the\Eng dope\Eng on\Eng my\Eng show\Eng .\O The\Eng land\Eng manager\Eng of\Eng MMRDA\Eng S\Eng .\O K\Hin=क Desai\Eng with\Eng me\Hin=मे now\Eng !\O Give\Eng him\Eng till\Eng the\Eng 16th\Eng @\O RedFM\Eng _\O Mumbai\Eng 
1784\O ,\O RT\Hin=अर्त @\O MiLOKMAT\Hin=मिलोकमत :\O .@\O mymalishka\Hin=मीनलिश्का ठरली\O महाराष्ट्राज\O मोस्ट\O स्टाइलिश\O -\O रेडिओ\O जॉकी\O Lokmat\Eng #\O MaharashtrasMostStylish\Eng अवॉर्ड्स\O मधे.\O https\Eng ://\O t\Eng .\O co\Hin=को /\O whH4AVa\Hin=व्ह्4अवा …\O 
1785,😘\O https\Eng ://\O t\Eng .\O co\Eng /\O 5ahxGi0iHT\Eng 
1786\O ,"#\O LifeHack\Eng :\O Looking\Eng 4\O safety\Eng pin\Eng ?\O Check\Eng under\Eng the\Eng pallu\Eng of\Eng a\Eng lady\Eng in\Eng sari\Eng nearby\Eng .\O Almost\Eng always\Eng on\Eng the\Eng blouse\Eng .\O Wait\Eng ,\O boys\Eng this\Eng is\Eng not\Eng 4\O u\Hin=उ 😳"\O 
1787\O ,\O Imagine\Eng if\Eng pythons\Eng thought\Eng like\Eng this\Eng about\Eng humans\Eng !\O Invasive\Eng species\Eng .\O Innumerable\Eng eggs\Eng 😳\EMT Let's\Eng cut\Eng '\O em\Eng open\Eng !\O #\O please\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O MemmlxWNSH\Hin=मेम्ल्क्स्व्Mश 
1788\O ,\O RT\Eng @\O RedFMIndia\Eng :\O .@\O RaeesTheFilm\Eng director\Eng @\O rahuldholakia\Eng makes\Eng some\Eng important\Eng points\Eng about\Eng the\Eng the\Eng attack\Eng on\Eng #\O SanjayLeelaBhansali\Hin=संजय्लीलभंसली to\Hin=तू @\O mymalis\Eng …\O 
1789\O ,\O Brighter\Eng pics\Eng !\O Thx\Eng @\O radioandmusic\Eng @\O RedFMIndia\Eng .\O Malishka\Hin=म्लिश्का bags\Eng award\Eng for\Eng being\Eng the\Eng most\Eng stylish\Eng RJ\Eng in\Eng Maharashtra\Eng |\O https\Eng ://\O t\Eng .\O co\Eng /\O ce6CfyMVme\Eng 
1790\O ,\O Hahaha\Hin=हहाह our\Eng prizes\Eng at\Eng @\O RedFM\Eng _\O Mumbai\Eng are\Eng always\Eng chakachakk\Hin=चकाचक्क .\O You\Eng should\Eng just\Eng participate\Eng with\Eng ur\Hin=उर eyes\Eng closed\Eng 😊\EMT Na\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 8xPsrDS30p\Eng 
1791\O ,\O Aabhaar\Hin=आभाअर 😘\EMT https\Eng ://\O t\Eng .\O co\Eng /\O PkXfM0FTe6\Eng 
1792\O ,\O Thx\Eng :)\EMT @\O RedFMIndia\Eng @\O RedFM\Eng _\O Mumbai\Eng https\Eng ://\O t\Eng .\O co\Eng /\O PkXfM0FTe6\Eng 
1793\O ,\O Awww\Hin=आव्व्व् David\Eng !!\O You\Eng have\Eng a\Eng huge\Eng role\Eng to\Eng play\Eng in\Eng this\Eng .\O Thanks\Eng for\Eng being\Eng my\Eng Fashion\Eng Buddy\Eng 😘😘😘\O https\Eng ://\O t\Eng .\O co\Eng /\O 8SSEm1JThg\Eng 
1794\O ,\O Thanks\Eng Rishi\Eng .\O What\Eng a\Eng lovely\Hin=लवय night\Eng and\Eng award\Eng :)\EMT I\Hin=इ love\Eng doing\Eng what\Eng I\Eng do\Hin=दो .\O I\Eng do\Eng the\Eng do\Eng 😎\EMT https\Eng ://\O t\Eng .\O co\Hin=को /\O sjt4nIiDgL\Hin=स्ज्त्4अनीद्गी 
1795\O ,\O RT\Hin=अर्त @\O MiLOKMAT\Hin=मिलोकमत :\O .@\O mymalishka\Hin=मीनलिश्का talks\Eng about\Eng #\O Neerja\Hin=निरजा &\O amp\Eng ;\O more\Eng with\Eng @\O sonamakapoor\Eng &\O amp\Hin=अम्प ;\O @\O atulkasbekar\Hin=अतुलकसबेकार at\Hin=आत Lokmat\Eng #\O MaharashtrasMostStylish\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O XQ\Eng …\O 
1796\O ,\O Thanks\Eng Mandana\Hin=मंडना !!!\O I\Hin=इ missed\Eng this\Eng tweet\Eng somehow\Eng !\O 😘\EMT https\Eng ://\O t\Eng .\O co\Eng /\O q1tM4YNLQi\Eng 
1797\O ,\O So\Eng good\Eng chatting\Eng with\Eng this\Eng power\Eng pair\Eng on\Eng stage\Hin=स्टजे @\O MiLOKMAT\Hin=मिलोकमत #\O MaharashtrasMostStylish\Hin=महाराष्ट्रसमोस्ट्स्टाइलिश and\Eng thx\Hin=त्क्स @\O atulkasbekar\Hin=अतुलकसबेकार for\Hin=फॉर that\Eng pr\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O ehvLsVYv5I\Hin=एह्व्ल्स्व्य्व्5ई 
1798\O ,"\O Bumping\Eng into\Eng you\Eng ,\O eating\Eng with\Eng ya\Hin=या ,\O just\Eng gossiping\Eng ;)\EMT All\Eng ees\Eng goooood\Eng .\O 😘\EMT https\Eng ://\O t\Eng .\O co\Eng /\O bENmAv0v40\Eng "\O 
1799\O ,\O Honoured\Eng .\O Right\Hin=राइघ्ट now\Eng at\Eng the\Hin=ते @\O MiLOKMAT\Hin=मिलोकमत function\Hin=फंक्शन .\O Just\Eng won\Eng the\Eng #\O MaharashtrasMostStylish\Eng award\Eng :)\EMT Can't\Eng wait\Eng for\Eng all\Eng th\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O slYTGq54BP\Eng 
1800\O ,\O Always\Eng for\Eng things\Eng that\Eng need\Eng to\Eng be\Eng talked\Eng about\Eng .💃\O For\Hin=फॉर my\Eng little\Eng black\Eng skirt\Eng or\Eng salwar\Hin=सलवार kameez\Hin=कमीज़ n\Hin=न for\Eng ppl\Hin=प्ल to\Eng stop\Eng believ\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O p9f6VYGYMF\Eng 
1801\O ,"\O Super\Eng thought\Eng @\O AJIOLife\Eng .\O It's\Eng #\O NotWhatIWear\Hin=नोटवाअतिवियर that\Eng ’\O s\Eng responsible\Eng for\Eng violence\Eng against\Eng women\Eng it's\Eng a\Eng prejudiced\Eng ,\O ill\Eng min\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 2vFdxgRdKj\Eng "\O 
1802\O ,\O You're\Eng in\Eng charge\Eng of\Eng publicity\Eng ;)\EMT #\O BilquisBegumKaBaadaa\Hin=बिल्किसबेगुमकबादा Next\Hin=नेक्स्ट is\Eng in\Eng Borivali\Eng on\Eng the\Eng 12th\Eng of\Eng Feb\Eng n\Eng then\Eng 14th\Eng n\Eng 15th\Eng of\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 0MfZU23FNW\Eng 
1803\O ,\O Were\Eng you\Eng there\Eng ?\O Thankyou\Eng 😇\EMT https\Eng ://\O t\Eng .\O co\Eng /\O uebusPtk5J\Eng 
1804\O ,\O Kal\Hin=का ek\Hin=इक look\Hin=लुक tha\Hin=ता ....\O aaj\Hin=आअय् doosra\Hin=दूसरा hai\Hin=हैं :)\EMT #\O Playtime\Hin=प्लेय्तीम #\O BilquisBegumKaBaada\Hin=बिल्किसबेगुमकबादा starts\Eng in\Eng a\Eng bit\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 1YEIrBuJS7\Hin=1येऐअरबुज्स्7 
1805\O ,\O With\Eng all\Eng due\Eng respect\Eng that's\Eng a\Eng terrible\Eng comparison\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O MWUGeS9jkj\Eng 
1806\O ,\O Hallllllppppp\Hin=हल्ल्ल्ल्ल्प्प्प्प !\O Ok\Hin=अक don't\Hin=डों'ट hallllllpppp\Hin=हल्ल्ल्ल्ल्प्प्प !\O #\O communication\Eng #\O kidnapped\Eng !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 4hSlhhJikz\Hin=4ह्स्ल्हजीक्ज़ 
1807\O ,\O Wow\Hin=वो !\O I\Eng found\Eng myself\Eng going\Eng '\O Phooooo\Hin=फ्zउउऊ phooooo\Hin=फ्zउउऊ '\O at\Hin=आत my\Eng phone\Eng screen\Eng trying\Eng to\Eng help\Eng birdie\Eng get\Eng away\Eng :)…\O https\Eng ://\O t\Eng .\O co\Eng /\O NIU4fwk7Sr\Eng 
1808\O ,"\O Tonight\Eng ,\O 29th\Eng Jan\Eng at\Eng Mysore\Eng Association\Eng ,\O Matunga\Eng East\Eng is\Eng our\Eng play\Eng again\Hin=अगान #\O BilquisBegumKaBaadaa\Hin=बिल्किसबेगुमकबादा .\O See\Hin=से you\Eng there\Eng :)\EMT 
https\Eng ://\O t\Eng .\O co\Hin=को /\O CkxdBBbFde\Hin=क्क्स्ड्ब्ब्ब्फ़ड़े "\O 
1809\O ,\O Was\Hin=वस good\Eng grilling\Eng the\Eng boys\Eng :)\EMT @\O BiggBoss\Eng @\O ColorsTV\Eng @\O RedFMIndia\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O fu9vJjGcBr\Hin=फु9व्ज्ज्ग्च्ब्र 
1810\O ,\O Awww\Hin=आव्व्व् thanks\Eng Boyzes\Eng :)\EMT @\O biggboss\Eng @\O RedFMIndia\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O S9xkAzAFOh\Hin=स्9क्स्काज़फोह 
1811\O ,"\O RT\Eng @\O BiggBoss\Eng :\O On\Eng the\Eng expert\Eng panel\Eng now\Eng :\O @\O TheFarahKhan\Eng ,\O @\O mymalishka\Hin=मीनलिश्का ,\O @_\O ravidubey\Hin=रविडूबे ,\O @\O SwetaAajtak\Hin=स्वेताआजतक &\O amp\Hin=अम्प ;\O @\O PuneetIssar\Hin=पुनीअटिस्सर !\O Will\Eng anyone\Eng get\Eng spared\Eng ?\O #\O BB10G\Eng …"\O 
1812\O ,\O RT\Eng @\O BiggBoss\Eng :\O Bigg\Eng Boss\Eng feels\Eng that\Eng people\Eng tend\Eng to\Eng make\Eng some\Eng unintentional\Eng mistakes\Eng as\Eng they\Eng go\Eng through\Eng a\Eng rough\Eng phase\Eng &\O amp\Eng ;\O so\Eng did\Eng our\Eng final\Eng 4!\O #…\O 
1813\O ,\O RT\Eng @\O dna\Eng :\O #\O BiggBoss10\Eng :\O Indiawaale\Eng or\Eng celebrities\Eng -\O who\Eng should\Eng win\Eng the\Eng trophy\Eng ?\O Contestants\Eng debate\Eng !\O https\Eng ://\O t\Eng .\O co\Eng /\O 2rZwQ450HJ\Eng #\O BB10\Eng #\O BB10GrandFi\Eng …\O 
1814\O ,"\O RT\Eng @\O BiggBoss\Eng :\O Meet\Eng our\Eng panel\Eng :\O @\O TheFarahKhan\Eng ,\O @\O mymalishka\Hin=मीनलिश्का ,\O @_\O ravidubey\Hin=रविडूबे ,\O @\O ImPuneetIssar\Hin=इम्पुनीअटिस्सर &\O amp\Hin=अम्प ;\O @\O SwetaAajtak\Hin=स्वेताआजतक !\O How\Hin=हो will\Eng the\Eng housemates\Eng face\Eng them\Eng ?\O #\O B\Eng …"\O 
1815\O ,\O Dude\Hin=डुड़े !\O I\Hin=इ do\Eng the\Eng same\Eng thing\Eng again\Eng 😜\EMT https\Eng ://\O t\Eng .\O co\Eng /\O zOMM258mRL\Eng 
1816\O ,\O And\Eng for\Eng #\O BiggBoss\Eng the\Eng Red\Eng Hot\Eng Dress-up\Eng thanks\Eng @\O TeenaAhujaK\Hin=तीनाहुजाक for\Hin=फॉर the\Eng design\Eng n\Eng styling\Eng N\Eng @\O MineralitheStore\Eng for\Eng the\Eng fab\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O V8F26xn261\Eng 
1817\O ,\O Intention\Eng -\O achieved\Eng 😈💅🏻🙇🏽‍♀️\O https\Eng ://\O t\Eng .\O co\Eng /\O 0UhRD1PJzr\Eng 
1818\O ,\O Check\Hin=चेक this\Eng out\Hin=आउट @_\O ravidubey\Hin=रविडूबे and\Hin=एंड I\Eng discussing\Eng the\Eng fun\Eng we\Eng had\Eng at\Eng the\Eng @\O BiggBoss\Eng and\Eng met\Eng all\Eng ur\Eng fave\Eng contestants\Eng :)\EMT Watch\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O FmBfRqgQjF\Hin=फ्म्ब्फ्र्क़्ग्क़्ज्फ 
1819\O ,#\O BiggBoss\Eng House\Eng ke\Eng outside\Eng :)\EMT @\O Biggboss\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O FmBfRqgQjF\Hin=फ्म्ब्फ्र्क़्ग्क़्ज्फ 
1820\O ,\O At\Eng the\Eng #\O BiggBoss10\Eng home\Eng NOW\Hin=नो on\Eng FB\Eng LIVE\Eng meeting\Hin=मेईटिंग ur\Hin=उर fave\Eng contestants\Eng .\O Go\Hin=गो Like\Hin=लीके my\Eng FB\Eng page\Eng and\Eng watch\Eng !\O :\O MyMalishka\Hin=मीनलिश्का …\O https\Eng ://\O t\Eng .\O co\Eng /\O FRDcCjz00w\Eng 
1821\O ,\O At\Eng the\Eng @\O BiggBoss\Eng House\Eng in\Eng an\Eng interesting\Eng of\Eng defenders\Eng .\O One\Eng last\Eng chance\Eng for\Eng the\Eng contenders\Eng to\Eng clear\Eng the\Eng air\Eng while\Eng ac\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O oiulkYULyu\Hin=ओईउल्क्युल्यू 
1822\O ,#\O FilmReview\Eng radio-style\Eng .\O Iss\Hin=इश्स hafte\Hin=हफ़्ते #\O Raees\Eng @\O RedFM\Eng _\O Mumbai\Eng @\O redfmindia\Eng audioBoom\Hin=आऔडिओबूम /\O Malishka\Hin=म्लिश्का ka\Hin=का Filmy\Hin=फ़िल्मी Satak\Hin=सटक https\Eng ://\O t\Eng .\O co\Hin=को /\O Rp0jlxrvjh\Hin=र्प्0ज्ल्क्स्र्व्झ 
1823\O ,\O Aur\Hin=अर् apni\Hin=अपनी hum\Hin=हम bhi\Hin=भही banenge\Hin=बनेंगे #\O Raees\Eng ...\O Battery\Hin=बैटरी nahi\Hin=नाही bolneka\Hin=बोलनेका varna\Hin=वर्ना Tod\Hin=तोड़ doonga\Hin=दूँगा Pleese\Hin=प्लीज bolnewali\Hin=बोलनेवाली publeek\Hin=पब्लीक .\O 1st\Eng day\Eng 1st\Eng show\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 99M0u87Hrf\Eng 
1824\O ,\O Has\Hin=हास it\Eng ?\O @\O highrealities\Eng https\Eng ://\O t\Eng .\O co\Eng /\O AgvV5BLKhr\Eng 
1825\O ,\O Nawaz\Eng brings\Eng something\Eng to\Eng every\Eng film\Eng .\O I\Eng demand\Eng that\Eng he\Eng be\Eng in\Eng every\Eng film\Eng !\O Does\Eng he\Eng write\Eng his\Eng own\Eng lines\Eng ??!!!\O #\O Raees\Eng #\O NowWatching\Eng 
1826\O ,"\O Guess\Eng who\Eng is\Eng going\Eng into\Eng the\Eng @\O BiggBoss\Eng ka\Eng Ghar\Hin=घड़ी soon\Hin=सूं 😈😈😈\O Aakhein\Hin=आँखें dekho\Hin=देखो 😎\EMT It\Hin=इट will\Eng be\Eng a\Eng fun\Eng ,\O feisty\Eng one\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O Q6G10Kaea6\Eng "\O 
1827\O ,\O Thanks\Eng Carissa\Eng .\O More\Hin=मोर power\Eng 👍\O https\Eng ://\O t\Eng .\O co\Eng /\O 5cjqa1by6G\Eng 
1828\O ,\O Age\Eng is\Eng just\Eng a\Eng number\Eng .\O Half\Eng a\Eng million\Eng is\Eng a\Eng good\Eng number\Eng .\O We\Hin=वी call\Eng it\Eng 500k\Eng .\O Thanks\Eng you\Eng guys\Eng for\Eng the\Eng Follows\Eng .\O It's\Hin=इत्'अ gonna\Hin=गोन्ना b\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O iJL1JJX9YB\Eng 
1829\O ,\O Read\Eng the\Eng book\Eng in\Eng the\Eng dim\Eng eve\Eng light\Eng in\Eng a\Eng rick\Eng !\O Read\Eng everywhere\Eng !\O Thanks\Eng for\Eng the\Eng thrills\Eng and\Eng the\Eng emotions\Eng 😍\EMT @\O KiranManral\Eng #\O FaceatTheWindow\Hin=फेसीत्थुइंदो 
1830\O ,"\O Shared\Eng on\Eng insta\Eng but\Eng Twitter\Eng shouldn't\Eng miss\Eng out\Eng on\Eng this\Eng fierce\Eng mom\Eng who\Eng thinks\Eng we're\Eng out\Eng to\Eng get\Eng her\Eng baby\Hin=बेबी !\O Here\Eng ,\O her'gha\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O OkMevJSFAg\Hin=अक्मेव्ज्स्फग "\O 
1831\O ,\O Come\Hin=कौमअ on\Eng #\O TeamIndia\Eng .\O Dikha\Hin=दिखा do\Hin=दो !\O 
1832\O ,\O Hmmmm\Hin=ह्म्म्म ...\O you\Hin=यूं need\Eng new\Eng friends\Eng ?;)\O https\Eng ://\O t\Eng .\O co\Hin=को /\O mOouN3bKRA\Hin=मोऊं3ब्क्रा 
1833\O ,\O Early\Eng morning\Eng funnies\Eng 😁\O For\Eng now\Eng how\Eng about\Eng this\Eng Retweet\Eng ?😋\O Try\Eng the\Hin=ते pani\Hin=पानी Puri\Hin=पूरी Wala\Hin=वाला again\Eng n\Eng say\Eng my\Eng name\Eng ....\O ok\Eng don't\Eng .\O No\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O JzySE4zP1l\Eng 
1834\O ,\O The\Eng Circus\Eng has\Eng begun\Eng :)\EMT May\Eng it\Eng have\Eng some\Eng wonderful\Eng trapeze\Eng .\O All\Eng the\Eng best\Eng America\Eng 👍\O I\Eng hope\Eng we're\Eng wrong\Eng about\Hin=बाअत् ur\Hin=उर main\Hin=मां man\Eng 😇#\O DonaldTrumpInauguration\Eng 
1835\O ,\O I\Eng just\Eng got\Eng carded\Eng at\Eng a\Eng pub\Eng where\Eng I\Eng went\Eng to\Eng get\Eng a\Eng bite\Hin=बीती .\O Ma'am\Eng you\Eng have\Eng to\Eng be\Eng over\Eng 25😁\O Pls\Eng show\Eng me\Hin=मे some\Eng id\Eng .\O Just\Eng made\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 81iBXVwpZW\Eng 
1836\O ,\O The\Eng Romantic\Eng #\O Bandra\Eng Walk\Eng where\Eng I\Eng sent\Eng 1\O of\Eng my\Eng @\O malishkakeboys\Eng n\Hin=न he\Eng sounds\Eng like\Eng he\Eng has\Eng died\Eng n\Eng gone\Eng to\Eng heaven\Eng !😇\O Comin\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O tvdnIO2wSA\Hin=ट्व्डनिओ2सा 
1837\O ,"\O On\Hin=ओं ur\Hin=उर fave\Hin=फव Brkfst\Eng show\Eng @\O RedFM\Eng _\O Mumbai\Eng :\O @\O iamsrk\Hin=इयाम्स्र्क video\Eng calls\Eng a\Eng fan\Eng ,\O see\Eng a\Eng brand\Eng new\Eng #\O Bandra\Eng ,\O a\Eng chat\Eng wth\Eng Suresh\Eng Mukund\Eng who\Eng performs\Eng at\Eng Trump's\Eng !"\O 
1838\O ,"\O THIS\Hin=तीस happened\Eng !\O Thx\Eng to\Eng the\Eng awesome\Eng cops\Eng at\Eng Bandra\Eng ,\O @\O VodafoneIN\Eng and\Eng YOUR\Hin=यर good\Hin=गूद wishes\Eng :)\EMT Also\Eng @\O slimshetty\Eng @\O pranavbakshi\Hin=प्राणवबक्शी .…\O https\Eng ://\O t\Eng .\O co\Eng /\O hD8KEVovNp\Eng "\O 
